,well_name,sample_name,st_assigned,st_pcat1,miscall,QC_coverage_1,st_pcat2,QC_coverage_2,well_reported,MLST
1,Pool_hung_A1,H1,18C,18B,0,100,18C,100,A1,113
2,Pool_hung_A10,H12,19F,19F,0,99.99,19B,62.42,A10,1875
3,Pool_hung_A11,H13,19F,19F,0,99.89,19B,62.76,A11,NF*
4,Pool_hung_A12,H14,23A,23A,0,99.54,23F,77.86,A12,42
5,Pool_hung_A2,H2,6B,06A,0,98.02,06B,97.53,A2,1262
6,Pool_hung_A3,H3,38,38,0,99.99,25A,96.08,A3,393
7,Pool_hung_A4,H4,19A - ST1611,19A,0,95.14,06E,54.89,A4,1611
8,Pool_hung_A5,H7,24F,24B,0,99.26,24F,99.13,A5,72
9,Pool_hung_A6,H8,24F,24F,0,100,24B,100,A6,72
10,Pool_hung_A7,H9,23B,24B,0,100,24F,99.89,A7,72
11,Pool_hung_A8,H10,23B,23B,0,99.99,24B,94.14,A8,439
12,Pool_hung_A9,H11,6A,06A,0,99.99,06B,94.43,A9,176
13,Pool_hung_B1,H16,10A,10A,0,99.99,23A,98.52,B1,1551
14,Pool_hung_B10,H28,38,38,0,99.99,25A,96.34,B10,393
15,Pool_hung_B11,H29,23B,23B,0,99.99,23F,74.87,B11,9867
16,Pool_hung_B12,H30,19F,19F,0,99.99,19B,62.06,B12,423
17,Pool_hung_B2,H17,21,21,0,99.99,22F,55,B2,432
18,Pool_hung_B3,H19,23A,23A,0,99.99,23F,84.85,B3,42
19,Pool_hung_B4,H20,23A,23A,0,99.99,23F,78.04,B4,42
20,Pool_hung_B5,H22,35B,35B,0,99.99,34,47.03,B5,558
21,Pool_hung_B6,H23,23A,23A,0,99.99,35B,99.99,B6,42
22,Pool_hung_B7,H25,15A,15A,0,99.99,15F,84.88,B7,3811
23,Pool_hung_B8,H26,22F,22F,0,99.99,22A,90.68,B8,433
24,Pool_hung_B9,H27,38,38,0,99.99,25A,96.42,B9,393
25,Pool_hung_C1,H31,21,21,0,99.99,22F,60.04,C1,432
26,Pool_hung_C10,H41,21,Failed,1,16.41,Failed,14.34,C10,NF*?
27,Pool_hung_C11,H43,38,38,0,99.99,25A,96.64,C11,393
28,Pool_hung_C12,H44,35F,35F,0,99.99,16F,94.24,C12,446
29,Pool_hung_C2,H32,23B ,23B,0,99.99,23F,73.51,C2,439
30,Pool_hung_C3,H34,16F,16F,0,99.99,28F,63.97,C3,30
31,Pool_hung_C4,H35,23A ,23A,0,99.99,23F,78.84,C4,4726
32,Pool_hung_C5,H36,31,31,0,99.48,41F,77.68,C5,1111
33,Pool_hung_C6,H37,18C,13,1,99.99,31,99.03,C6,574
34,Pool_hung_C7,H38,18C,18B,0,100,18C,100,C7,113
35,Pool_hung_C8,H39,16F,16F,0,99.99,28A,65.69,C8,30
36,Pool_hung_C9,H40,6A,Failed,1,27.29,Failed,26.61,C9,NF*?
37,Pool_hung_D1,H47,19A - ST8430,19A,0,99.99,06E,57.96,D1,8430
38,Pool_hung_D10,H58,6A,06B,0,99.99,06A,99.32,D10,681
39,Pool_hung_D11,H59,19A ST319,19A,0,94.62,06E,53.47,D11,319
40,Pool_hung_D12,H60,24F,24B,0,100,24F,99.89,D12,466
41,Pool_hung_D2,H48,35F,35F,0,99.99,47F,80.31,D2,446
42,Pool_hung_D3,H49,6B,06A,0,99.99,06B,96.43,D3,171
43,Pool_hung_D4,H51,9V,09N,0,99.94,09L,99.94,D4,66
44,Pool_hung_D5,H52,19A - ST8430,19A,0,99.99,06E,57.47,D5,8430
45,Pool_hung_D6,H53,9V,19A,0,99.99,09N,99.98,D6,NF?
46,Pool_hung_D7,H54,3,3,0,99.96,09N,76.76,D7,1377
47,Pool_hung_D8,H55,19A - ST8430,19A,0,99.99,19F,61.09,D8,8430
48,Pool_hung_D9,H56,21,21,0,97.93,22F,55.23,D9,1877
49,Pool_hung_E1,H61,23A,23A,0,99.99,23F,77.55,E1,338
50,Pool_hung_E10,H71,23A,23A,0,99.99,23F,79.52,E10,42
51,Pool_hung_E11,H72,19A - ST320,19A,0,99.99,06E,58.62,E11,320
52,Pool_hung_E12,H73,38,Failed,1,34.34,Failed,34.05,E12,NF?
53,Pool_hung_E2,H62,19A - ST1757,19A,0,93.42,06E,51.7,E2,1757
54,Pool_hung_E3,H63,24 F,Failed,1,16.12,Failed,13.7,E3,NF*?
55,Pool_hung_E4,H64,19A - ST97,10A,1,99.99,10B,94.31,E4,97
56,Pool_hung_E5,H65,19A ST319,19A,0,97.04,06E,55.29,E5,319
57,Pool_hung_E6,H66,1,1,0,99.99,19A,99.99,E6,failed
58,Pool_hung_E7,H67,1,1,0,99.99,19F,51.97,E7,failed
59,Pool_hung_E8,H69,28F,28F,0,99.99,28A,99.99,E8,2956
60,Pool_hung_E9,H70,22A,22A,0,94.62,22F,93.97,E9,NF
61,Pool_hung_F1,H74,3,3,0,99.98,36,33.4,F1,180
62,Pool_hung_F10,H88,31,11D,1,99.98,11A,99.97,F10,62
63,Pool_hung_F11,H90,10A,10A,0,99.99,10B,94.27,F11,1551
64,Pool_hung_F12,H91,11AD,11A,0,99.99,11D,99.99,F12,62
65,Pool_hung_F2,H75,34,34,0,99.99,35B,51.19,F2,4083
66,Pool_hung_F3,H78,15C,Failed,1,13.23,Failed,11.67,F3,NF*?
67,Pool_hung_F4,H79,15B,15C,0,99.99,15B,99.99,F4,839
68,Pool_hung_F5,H81,15C,15C,0,99.99,15B,99.99,F5,NF*
69,Pool_hung_F6,H82,11AD,15C,1,99.99,15B,99.99,F6,NA
70,Pool_hung_F7,H83,15B,24B,1,100,15C,99.99,F7,failed
71,Pool_hung_F8,H84,24FAB,24B,0,100,24F,99.87,F8,72
72,Pool_hung_F9,H86,,3,1*,99.96,11A,75.98,F9,180
73,Pool_hung_G1,H92,34,34,0,99.97,06C,55.61,G1,4083
74,Pool_hung_G10,H109,10A,10A,0,99.99,10B,94.27,G10,1551
75,Pool_hung_G11,H110,3,3,0,99.98,06A,64.16,G11,10511
76,Pool_hung_G12,H111,19F,06A,1,99.99,06B,94.08,G12,473
77,Pool_hung_G2,H93,23A,23A,0,99.99,23F,84.13,G2,42
78,Pool_hung_G3,H96,23F,06A,1,99.99,06C,93.59,G3,473
79,Pool_hung_G4,H97,23F,Failed,1,18.14,Failed,16.48,G4,NA
80,Pool_hung_G5,H100,31,31,0,99.93,41A,81.97,G5,1111
81,Pool_hung_G6,H104,6B,06A,0,99.99,31,99.59,G6,NF*
82,Pool_hung_G7,H105,23F,23F,0,99.99,23A,79.54,G7,failed
83,Pool_hung_G8,H107,19F,19F,0,99.99,19B,62.08,G8,651
84,Pool_hung_G9,H108,22F,22F,0,99.99,22A,90.85,G9,433
85,Pool_hung_H1,H112,10A,10A,0,99.99,10B,94.31,H1,1551
86,Pool_hung_H10,H124,15B,15C,0,99.99,15B,99.99,H10,199
87,Pool_hung_H11,H126,25 FA/38,38,0,99.99,25A,96.38,H11,failed
88,Pool_hung_H12,H127,23B,23B,0,98.08,23F,69.73,H12,439
89,Pool_hung_H2,H113,15A,15A,0,99.99,15F,80.44,H2,NF*
90,Pool_hung_H3,H114,15A,Failed,1,9.96,Failed,9.56,H3,NF*?
91,Pool_hung_H4,H115,8,8,0,99.26,15A,40.25,H4,404
92,Pool_hung_H5,H116,8,8,0,99.12,35B,39.94,H5,53
93,Pool_hung_H6,H118,1,1,0,99.58,8,99.1,H6,NA
94,Pool_hung_H7,H119,3,3,0,99.98,8,99.23,H7,failed
95,Pool_hung_H8,H121,3,3,0,99.96,36,29.07,H8,180
96,Pool_hung_H9,H123,3,3,0,99.96,36,32.68,H9,180
97,Pool_DMW_A1,H134,11 FAD,11A,0,99.68,11D,99.68,A1,failed
98,Pool_DMW_A10,6B,6B,06A,0,99.41,06B,94.24,A10,639
99,Pool_DMW_A11,10A,10A,10A,0,99.99,10B,94.27,A11,failed
100,Pool_DMW_A12,15B,15B,15C,0,99.99,15B,99.99,A12,199
101,Pool_DMW_A2,H146,21,21,0,99.99,06A,77.7,A2,10356
102,Pool_DMW_A3,D8,6B,06E,0,99.99,06A,97.61,A3,8599
103,Pool_DMW_A4,D17,6B,06E,0,96.29,06A,88.38,A4,8595
104,Pool_DMW_A5,D27,19F,15B,0,97.12,15C,97.11,A5,8595
105,Pool_DMW_A6,D36,23F,23F,0,98.88,23A,82.44,A6,353
106,Pool_DMW_A7,D65,14,14,0,96.94,15B,94.56,A7,NA
107,Pool_DMW_A8,D102,23F,23F,0,99.99,23A,85.8,A8,failed
108,Pool_DMW_A9,D132,15B/C,15C,0,99.99,15B,99.99,A9,NF
109,Pool_DMW_B1,H135,6B/D,35B,1,99.91,11D,99.7,B1,failed
110,Pool_DMW_B10,6C,6C,06D,0,99.99,06C,99.54,B10,1390
111,Pool_DMW_B11,10F,10F,10F,0,99.99,10C,94.96,B11,3735
112,Pool_DMW_B12,15C,15C,15C,0,99.99,15B,99.99,B12,199*
113,Pool_DMW_B2,H148,34,34,0,99.96,14,69.9,B2,failed
114,Pool_DMW_B3,D9,6B,06E,0,99.99,06A,95.21,B3,315
115,Pool_DMW_B4,D18,14,14,0,97.04,06E,87.02,B4,failed
116,Pool_DMW_B5,D29,14,14,0,99.99,19F,87.1,B5,63
117,Pool_DMW_B6,D37,NT,Failed,0,68.9,Failed,68.9,B6,NF*
118,Pool_DMW_B7,D66,19A,19A,0,99.53,14,93.97,B7,276
119,Pool_DMW_B8,D107,14,14,0,96.92,19F,62.38,B8,156
120,Pool_DMW_B9,D28,19F,19F,0,99.99,06C,68.32,B9,651
121,Pool_DMW_C1,H138,35B,35B,0,99.99,11D,74.45,C1,NF
122,Pool_DMW_C10,6D,6D,06D,0,99.99,06C,99.57,C10,3048
123,Pool_DMW_C11,11A,11A,11A,0,99.87,11D,99.87,C11,5298
124,Pool_DMW_C12,15F,15F,15F,0,100,15A,99.99,C12,NF
125,Pool_DMW_C2,H149,19A,19A,0,99.99,35B,99.99,C2,8430
126,Pool_DMW_C3,D10,6B,06E,0,99.99,06A,93.49,C3,8599
127,Pool_DMW_C4,D19,14,14,0,99.99,15A,83.27,C4,230*
128,Pool_DMW_C5,D30,NT,Failed,0,73.43,Failed,71.77,C5,NF*?
129,Pool_DMW_C6,D45,NT,Failed,0,52.61,Failed,48.99,C6,344
130,Pool_DMW_C7,D69,23F,23F,0,99.99,23A,87.03,C7,11336
131,Pool_DMW_C8,D114,19F,19F,0,99.99,06C,78.91,C8,651
132,Pool_DMW_C9,1,1,1,0,99.99,19F,54.02,C9,306
133,Pool_DMW_D1,H141,3,3,0,99.96,19F,86.11,D1,180
134,Pool_DMW_D10,7C,7C,07C,0,99.94,07B,96.38,D10,3162
135,Pool_DMW_D11,11B,11B,11B,0,99.96,11C,99.93,D11,10153
136,Pool_DMW_D12,17F,17F,17F,0,99.83,19F,88.31,D12,13998
137,Pool_DMW_D2,H150,31,31,0,99.93,41A,81.95,D2,1111
138,Pool_DMW_D3,D11,19F,19F,0,99.99,19B,61.93,D3,13911
139,Pool_DMW_D4,D21,6B,06E,0,99.19,06A,96.58,D4,315
140,Pool_DMW_D5,D31,23F,23F,0,99.77,23A,88.49,D5,353
141,Pool_DMW_D6,D48,NT,Failed,0,62.19,Failed,57.33,D6,NF*
142,Pool_DMW_D7,D79,14,14,0,96.92,31,92.3,D7,143
143,Pool_DMW_D8,D120,19F,19F,0,99.99,19A,63.88,D8,NF*
144,Pool_DMW_D9,2,2,2,0,99.98,22F,58.42,D9,NF
145,Pool_DMW_E1,15A,15A,4,1,99.98,14,96.24,E1,NF*
146,Pool_DMW_E10,D7,NT,06E,1,99.04,06A,94.14,E10,NF
147,Pool_DMW_E11,H145,23B,09V,1,99.99,09A,99.99,E11,156
148,Pool_DMW_E12,H133,19F,23B,1,99.99,23F,73.79,E12,439
149,Pool_DMW_E2,9V,9V,09N,0,99.87,09L,99.87,E2,632
150,Pool_DMW_E3,6A,6A,14,1,96.75,15B,47.61,E3,13
151,Pool_DMW_E4,D131,15B/C,19A,1,94.72,09V,66.16,E4,172
152,Pool_DMW_E5,D99,19A,19F,0,99.99,19B,62.09,E5,651
153,Pool_DMW_E6,D63,23F,23F,0,99.99,23A,77.52,E6,172*
154,Pool_DMW_E7,D35,15B/C,15C,0,99.99,15B,99.99,E7,346
155,Pool_DMW_E8,D26,19A,14,1,96.72,15B,50.57,E8,NF
156,Pool_DMW_E9,D16,19A,15B,1,99.11,15C,99.1,E9,5808
157,Pool_DMW_F1,14,14,15A,1,99.9,15F,83.67,F1,13517
158,Pool_DMW_F10,D6,6B,Failed,1,59.6,Failed,58.72,F10,NF*?
159,Pool_DMW_F11,H144,9,23B,1,99.99,23F,72.01,F11,439
160,Pool_DMW_F12,H132,23B,Failed,1,65.31,Failed,62.84,F12,NF*?
161,Pool_DMW_F2,9N,9N,09V,0,99.94,09A,99.94,F2,156
162,Pool_DMW_F3,5,14?,06B,1,99.99,06A,99.99,F3,690
163,Pool_DMW_F4,D124,19A,15B,1,96.88,15C,96.87,F4,NF*
164,Pool_DMW_F5,D54,23F,19A,1,94.02,15A,52.72,F5,172
165,Pool_DMW_F6,D54,23F,Failed,1,96.92,Failed,71.6,F6,NF*
166,Pool_DMW_F7,D34,15B/C,15C,0,98.78,15B,98.78,F7,5808
167,Pool_DMW_F8,D24,14,19A,1,97.27,06E,54.96,F8,1526
168,Pool_DMW_F9,D15,15B/C,Failed,1,29.23,Failed,29.23,F9,NF*?
169,Pool_DMW_G1,13,13,13,0,99.99,11A,68.36,G1,574
170,Pool_DMW_G10,H152,16F,16F,0,99.99,28F,75.3,G10,30
171,Pool_DMW_G11,H143,42,35A,1,99.99,35C,99.99,G11,433
172,Pool_DMW_G12,H131,43/45/48,Failed,1,64.95,Failed,64.9,G12,NF*
173,Pool_DMW_G2,8,8,8,0,99.88,31,48.22,G2,53
174,Pool_DMW_G3,4,4,4,0,99.87,45,52.01,G3,9934
175,Pool_DMW_G4,D122,19A,Failed,1,83.24,Failed,38.43,G4,NF*?
176,Pool_DMW_G5,D81,19F,Failed,1,67.71,Failed,63.53,G5,NF
177,Pool_DMW_G6,D53,NT,Failed,0,40.28,Failed,35.95,G6,NF*
178,Pool_DMW_G7,D33,14,14,0,99.99,13,61.7,G7,782
179,Pool_DMW_G8,D23,19A,19A,0,97.63,19F,58.36,G8,2927
180,Pool_DMW_G9,D14,15B/C,15C,0,98.81,15B,98.81,G9,5809
181,Pool_DMW_H1,12F,12F,12F,0,99.91,44,99.91,H1,218
182,Pool_DMW_H10,H151,23A,23A,0,99.98,23F,83.21,H10,2958
183,Pool_DMW_H11,H142,NT,Failed,0,56.82,Failed,56.76,H11,344
184,Pool_DMW_H12,H130,nt,Failed,0,51.65,Failed,51.65,H12,4149
185,Pool_DMW_H2,7F,7F,07A,0,99.98,07F,99.88,H2,191
186,Pool_DMW_H3,3,3,3,0,99.85,06E,54.35,H3,180
187,Pool_DMW_H4,D123,6B,06E,0,93.27,06A,79.41,H4,8595
188,Pool_DMW_H5,D80,23F,Failed,1,83.64,Failed,76.81,H5,11336
189,Pool_DMW_H6,D50,23F,23F,0,99.5,23A,77.54,H6,13882
190,Pool_DMW_H7,D32,6B,06E,0,96.45,06A,86.77,H7,8595
191,Pool_DMW_H8,D22,19F,19A,0,94.76,06E,49.82,H8,172
192,Pool_DMW_H9,D12,19A,19A,0,93.69,06E,49.13,H9,2927